116.84,116.84 117.18 116.87 117.57 116.12 118.52 110.42 117.18 116.84
117.0369,117.0369 117.1800 116.8700 117.1400 116.1200 118.5200 110.4190 116.8386 116.790873292
116.84,116.84 117.18 116.87 117.57 116.12 118.52 110.42 117.2321 116.84
116.552,116.552 117.180 116.870 117.060 116.360 118.520 110.419 117.2321 116.786879666
117.0369,117.0369 117.1800 116.8700 117.1400 116.1200 118.5200 110.4190 117.2321 116.790873292
116.552,116.552 117.180 116.870 117.060 116.360 118.520 110.419 117.15 116.786879666
116.84,116.84 117.18 116.87 117.57 116.12 118.52 110.42 116.8396 116.84
116.84,116.84 117.18 116.87 117.57 116.12 118.52 110.42 117.15 116.84
117.0369,117.0369 117.1800 116.8700 117.1400 116.1200 118.5200 110.4190 117.15 116.790873292
117.155,117.155 117.180 116.870 117.570 116.120 118.520 110.419 117.18 116.795872076
116.552,116.552 117.180 116.870 117.060 116.360 118.520 110.419 117.18 116.786879666
117.155,117.155 117.180 116.870 117.570 116.120 118.520 110.419 117.15 116.795872076
117.15,117.15 117.18 116.87 117.57 116.12 118.52 110.42 117.15 116.895819901
117.15,117.15 117.18 116.87 117.57 116.12 118.52 110.42 117.15 116.895819901
117.15,117.15 117.18 116.87 117.57 116.12 118.58 110.69 117.15 116.89582526
117.15,117.15 117.18 116.87 117.57 116.12 118.52 110.42 117.15 116.895821604
117.15,117.15 117.18 116.87 117.57 116.12 118.52 110.42 117.15 116.89582526
117.15,117.15 117.18 116.87 117.57 116.12 118.58 110.69 117.15 116.895825282
117.15,117.15 117.18 116.87 117.57 116.12 118.58 110.69 117.15 116.89582526
117.15,117.15 117.18 116.87 117.57 116.12 118.58 110.69 117.15 116.895825282
117.15,117.15 117.18 116.87 117.57 116.12 118.58 110.69 117.15 116.895825282
117.15,117.15 117.18 116.87 117.57 116.12 118.58 110.69 117.15 116.89582526
117.15,117.15 117.18 116.87 117.57 116.12 118.58 110.69 117.15 116.895825282
117.15,117.15 117.18 116.87 117.57 116.12 118.58 110.69 117.15 116.89582526
118.49,118.49 117.15 116.21 118.53 116.21 118.58 110.69 117.15 116.79266289
118.42,118.42 117.15 116.21 119.08 116.21 118.57 110.84 118.46 116.896436494
118.42,118.42 117.15 116.21 119.08 116.21 118.58 110.79 118.46 116.896436494
118.42,118.42 117.15 116.21 119.08 116.21 118.57 110.84 118.46 116.896436494
118.42,118.42 117.15 116.21 119.08 116.21 118.57 110.84 118.46 116.896436494
119.48,119.48 118.42 119.24 119.50 118.98 118.57 110.84 118.46 116.785716744
