19.360001,19.360001 20.32 19.059999 19.450001 30046400
19.309999,19.309999 19.440001 18.48 18.530001 23200100
18.540001,18.540001 18.74 17.719999 17.85 17177200
17.85,17.85 18.48 17.59 18.469999 19299200
18.120001,18.120001 18.57 17.780001 17.959999 17329000
17.940001,17.940001 18.030001 17.50 17.719999 16314100
17.59,17.59 17.950001 17.309999 17.93 22336600
18.00,18.00 18.09 17.110001 18.00 26629600
18.299999,18.299999 18.959999 18.10 18.559999 25683700
18.299999,18.299999 18.68 17.76 18.620001 24926900
18.309999,18.309999 18.879999 17.77 18.16 23914800
18.43,18.43 18.549999 17.52 18.10 34447200
17.459999,17.459999 17.60 16.43 16.469999 25659200
16.360001,16.360001 16.40 15.67 16.09 17193400
15.88,15.88 15.94 14.53 14.54 35538100
14.31,14.31 14.79 13.91 14.07 38371000
14.98,14.98 15.28 14.52 14.55 30722500
14.40,14.40 15.55 14.31 14.62 26408800
14.90,14.90 15.55 14.73 15.51 24818000
15.72,15.72 16.639999 15.62 16.610001 23996300
16.91,16.91 17.18 16.290001 16.40 18125800
16.559999,16.559999 16.74 15.55 16.33 24244900
16.08,16.08 17.27 16.01 17.219999 31719200
17.91,17.91 18.77 17.299999 17.889999 49860200
16.799999,16.799999 17.07 16.51 16.639999 16817700
16.49,16.49 17.34 16.450001 17.209999 16774600
16.780001,16.780001 17.620001 16.77 17.01 16623700
17.01,17.01 17.280001 16.40 17.219999 21998100
17.02,17.02 17.450001 16.51 16.799999 33559400
17.84,17.84 18.559999 17.73 18.290001 15543100
17.83,17.83 18.32 16.799999 17.440001 26275000
17.379999,17.379999 19.040001 15.48 16.16 68953800
16.690001,16.690001 18.18 16.43 18.18 23994100
17.940001,17.940001 18.530001 17.610001 18.23 24235100
19.00,19.00 19.16 17.27 18.549999 37045300
18.68,18.68 19.76 18.469999 19.700001 35742200
19.620001,19.620001 20.41 19.32 19.870001 14519500
19.65,19.65 20.200001 19.26 20.120001 21287900
19.98,19.98 20.719999 19.60 20.51 21744400
20.26,20.26 21.48 20.200001 21.00 20631500
21.389999,21.389999 22.18 21.18 21.620001 13941700
21.92,21.92 23.00 21.85 22.790001 16821600
22.559999,22.559999 22.84 22.110001 22.639999 15270700
